id,cyberharcelementType,plateforme,accompagnement,date,genre,age,typeAccompagnement,langue,anonymat,annee,mois,statut_age,accomp_juridique,accomp_psychique,accomp_suppression
979,Publication de photos intimes ou personnelles,Facebook,Non,2025-01-01,Masculin,+26 ans,Suppression,fr,Oui,2025,1,Adulte,0,0,1
980,Publication de photos intimes ou personnelles,Instagram,Non,2025-01-02,Féminin,18-25 ans,Suppression,fr,Oui,2025,1,Jeune adulte,0,0,1
981,Publication de photos intimes ou personnelles,Facebook,Oui,2025-01-03,Féminin,18-25 ans,Juridique;Psychique;Suppression,ar,Non,2025,1,Jeune adulte,1,1,1
982,Autres,Facebook,Non,2025-01-04,Féminin,+26 ans,Suppression,fr,Oui,2025,1,Adulte,0,0,1
983,Autres,Facebook,Non,2025-01-05,Féminin,18-25 ans,Suppression,fr,Oui,2025,1,Jeune adulte,0,0,1
984,Propos de haine,Instagram,Oui,2025-01-06,Féminin,+26 ans,Juridique;Suppression,fr,Non,2025,1,Adulte,1,0,1
985,Propos de haine,Instagram,Non,2025-01-07,Féminin,+26 ans,Suppression,fr,Oui,2025,1,Adulte,0,0,1
986,Menace de publier des photos intimes ou personnelles,Instagram,Non,2025-01-08,Féminin,+26 ans,Suppression,fr,Oui,2025,1,Adulte,0,0,1
987,Propos de haine,Facebook,Non,2025-01-09,Masculin,+26 ans,Suppression,fr,Oui,2025,1,Adulte,0,0,1
988,Diffamation,Instagram,Non,2025-01-10,Masculin,+26 ans,Suppression,fr,Oui,2025,1,Adulte,0,0,1
989,Diffamation,Instagram,Non,2025-01-11,Masculin,18-25 ans,Suppression,ar,Oui,2025,1,Jeune adulte,0,0,1
990,Publication de photos intimes ou personnelles,Instagram,Non,2025-01-12,Masculin,18-25 ans,Suppression,ar,Oui,2025,1,Jeune adulte,0,0,1
991,Publication de photos intimes ou personnelles,Instagram,Oui,2025-01-13,Masculin,18-25 ans,Juridique;Suppression,fr,Non,2025,1,Jeune adulte,1,0,1
992,Autres,Instagram,Non,2025-01-14,Féminin,+26 ans,Suppression,fr,Oui,2025,1,Adulte,0,0,1
993,Autres,Instagram,Non,2025-01-15,Féminin,+26 ans,Suppression,fr,Oui,2025,1,Adulte,0,0,1
994,Autres,Instagram,Non,2025-01-16,Féminin,18-25 ans,Suppression,fr,Oui,2025,1,Jeune adulte,0,0,1
995,Autres,Instagram,Non,2025-01-17,Féminin,+26 ans,Suppression,fr,Oui,2025,1,Adulte,0,0,1
996,Propos de haine,Instagram,Non,2025-01-18,Masculin,18-25 ans,Suppression,fr,Oui,2025,1,Jeune adulte,0,0,1
997,Propos raciste ou discriminatoire,Instagram,Non,2025-01-19,Masculin,18-25 ans,Suppression,fr,Oui,2025,1,Jeune adulte,0,0,1
998,Usurpation d’identité,Facebook,Non,2025-01-20,Féminin,+26 ans,Suppression,fr,Oui,2025,1,Adulte,0,0,1
999,Publication de photos intimes ou personnelles,WhatsApp,Non,2025-01-21,Féminin,+26 ans,Suppression,fr,Oui,2025,1,Adulte,0,0,1
1000,Diffamation,Facebook,Non,2025-01-22,Féminin,+26 ans,Suppression,ar,Oui,2025,1,Adulte,0,0,1
1001,Publication de photos intimes ou personnelles,Facebook,Non,2025-01-23,Masculin,+26 ans,Suppression,ar,Oui,2025,1,Adulte,0,0,1
1002,Autres,Instagram,Oui,2025-01-24,Féminin,+26 ans,Juridique;Psychique;Suppression,fr,Non,2025,1,Adulte,1,1,1
1003,Publication de photos intimes ou personnelles,Tiktok,Non,2025-01-25,Féminin,18-25 ans,Suppression,fr,Oui,2025,1,Jeune adulte,0,0,1
1004,Diffamation,Facebook,Non,2025-01-26,Féminin,18-25 ans,Suppression,ar,Oui,2025,1,Jeune adulte,0,0,1
1005,Diffamation,Tiktok,Non,2025-01-27,Féminin,18-25 ans,Suppression,ar,Oui,2025,1,Jeune adulte,0,0,1
1006,Autres,Instagram,Oui,2025-01-28,Féminin,+26 ans,Juridique;Psychique;Suppression,fr,Non,2025,1,Adulte,1,1,1
