2026-08-30 01:53:48,023 | INFO     | src.silver.cleaner | Nettoyage de 1 lignes...
2026-08-30 01:53:48,048 | INFO     | src.silver.cleaner | Valeurs manquantes remplacées : genre=0, age=0
2026-08-30 01:53:48,054 | INFO     | src.silver.cleaner | Nettoyage terminé : 1 lignes, 17 colonnes.
2026-08-30 01:53:48,055 | INFO     | src.silver.cleaner | Nettoyage de 1 lignes...
2026-08-30 01:53:48,062 | INFO     | src.silver.cleaner | Valeurs manquantes remplacées : genre=0, age=0
2026-08-30 01:53:48,063 | INFO     | src.silver.cleaner | Nettoyage terminé : 1 lignes, 17 colonnes.
2026-08-30 01:53:48,063 | INFO     | src.silver.cleaner | Nettoyage de 1 lignes...
2026-08-30 01:53:48,071 | INFO     | src.silver.cleaner | Valeurs manquantes remplacées : genre=0, age=0
2026-08-30 01:53:48,072 | INFO     | src.silver.cleaner | Nettoyage terminé : 1 lignes, 17 colonnes.
2026-08-30 01:53:48,072 | INFO     | src.silver.cleaner | Nettoyage de 1 lignes...
2026-08-30 01:53:48,080 | INFO     | src.silver.cleaner | Valeurs manquantes remplacées : genre=0, age=0
2026-08-30 01:53:48,083 | INFO     | src.silver.cleaner | Nettoyage terminé : 1 lignes, 17 colonnes.
2026-08-30 01:53:48,086 | INFO     | src.silver.cleaner | Nettoyage de 1 lignes...
2026-08-30 01:53:48,090 | INFO     | src.silver.cleaner | Valeurs manquantes remplacées : genre=0, age=0
2026-08-30 01:53:48,092 | INFO     | src.silver.cleaner | Nettoyage terminé : 1 lignes, 17 colonnes.
2026-08-30 01:53:48,096 | INFO     | src.silver.cleaner | Nettoyage de 1 lignes...
2026-08-30 01:53:48,097 | INFO     | src.silver.cleaner | Valeurs manquantes remplacées : genre=0, age=0
2026-08-30 01:53:48,103 | INFO     | src.silver.cleaner | Nettoyage terminé : 1 lignes, 17 colonnes.
2026-08-30 01:53:48,104 | INFO     | src.silver.cleaner | Nettoyage de 1 lignes...
2026-08-30 01:53:48,108 | INFO     | src.silver.cleaner | Valeurs manquantes remplacées : genre=0, age=0
2026-08-30 01:53:48,111 | INFO     | src.silver.cleaner | Nettoyage terminé : 1 lignes, 17 colonnes.
2026-08-30 01:53:48,111 | INFO     | src.silver.cleaner | Nettoyage de 1 lignes...
2026-08-30 01:53:48,111 | INFO     | src.silver.cleaner | Valeurs manquantes remplacées : genre=0, age=0
2026-08-30 01:53:48,111 | INFO     | src.silver.cleaner | Nettoyage terminé : 1 lignes, 17 colonnes.
2026-08-30 01:53:48,123 | INFO     | src.silver.cleaner | Nettoyage de 1 lignes...
2026-08-30 01:53:48,123 | INFO     | src.silver.cleaner | Valeurs manquantes remplacées : genre=0, age=0
2026-08-30 01:53:48,123 | INFO     | src.silver.cleaner | Nettoyage terminé : 1 lignes, 17 colonnes.
2026-08-30 01:53:48,133 | INFO     | src.silver.cleaner | Nettoyage de 1 lignes...
2026-08-30 01:53:48,137 | INFO     | src.silver.cleaner | Valeurs manquantes remplacées : genre=1, age=0
2026-08-30 01:53:48,142 | INFO     | src.silver.cleaner | Nettoyage terminé : 1 lignes, 17 colonnes.
2026-08-30 01:53:48,146 | INFO     | src.silver.cleaner | Nettoyage de 1 lignes...
2026-08-30 01:53:48,152 | INFO     | src.silver.cleaner | Valeurs manquantes remplacées : genre=0, age=1
2026-08-30 01:53:48,153 | INFO     | src.silver.cleaner | Nettoyage terminé : 1 lignes, 17 colonnes.
2026-08-30 01:53:48,158 | INFO     | src.silver.cleaner | Nettoyage de 1 lignes...
2026-08-30 01:53:48,162 | INFO     | src.silver.cleaner | Valeurs manquantes remplacées : genre=0, age=0
2026-08-30 01:53:48,166 | INFO     | src.silver.cleaner | Nettoyage terminé : 1 lignes, 17 colonnes.
2026-08-30 01:53:48,168 | INFO     | src.silver.cleaner | Nettoyage de 1 lignes...
2026-08-30 01:53:48,174 | INFO     | src.silver.cleaner | Valeurs manquantes remplacées : genre=0, age=0
2026-08-30 01:53:48,178 | INFO     | src.silver.cleaner | Nettoyage terminé : 1 lignes, 17 colonnes.
2026-08-30 01:53:48,179 | INFO     | src.silver.cleaner | Nettoyage de 1 lignes...
2026-08-30 01:53:48,186 | INFO     | src.silver.cleaner | Valeurs manquantes remplacées : genre=0, age=0
2026-08-30 01:53:48,188 | INFO     | src.silver.cleaner | Nettoyage terminé : 1 lignes, 17 colonnes.
